grid_id,x_utm,y_utm,longitude,latitude,elevation_m,slope_deg,low_lying_score,soil_clay_0_5cm,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_police_m,dist_to_fire_station_m
CHN_G1697,410250.0,1440750.0,80.172286,13.031361,17.83,1.27,0.511,107.0,0.932,0.0,0.059,50,4.8,3024.7,684.0,1873.9,8396.1,37044.8,20113.5,281,34851.1,80.5,7,730.3,4351.0
CHN_G1698,410750.0,1440750.0,80.176897,13.031376,16.21,0.96,0.576,230.0,0.92,0.0,0.077,50,10.5,3077.0,761.6,1615.4,7904.5,37408.1,16073.3,84,18375.3,359.3,12,233.0,4458.0
CHN_G1699,411250.0,1440750.0,80.181508,13.03139,16.15,1.76,0.553,64.0,0.878,0.003,0.109,50,32.8,2966.3,759.9,1234.2,7414.1,37774.6,13293.4,372,80699.2,171.2,11,274.5,4617.1
CHN_G1700,411750.0,1440750.0,80.186118,13.031405,16.0,2.11,0.537,64.0,0.962,0.0,0.035,50,41.2,2937.7,775.5,856.7,6925.0,38144.0,11737.1,472,86696.4,407.9,16,772.2,4822.9
CHN_G1701,412250.0,1440750.0,80.190729,13.031419,14.21,1.31,0.629,64.0,0.875,0.0,0.123,50,13.8,2993.5,699.1,532.1,6437.6,38515.7,2794.9,575,101854.5,23.8,17,1190.6,4346.5
CHN_G1702,412750.0,1440750.0,80.19534,13.031434,13.91,0.51,0.625,291.0,0.846,0.0,0.146,50,168.5,3122.4,202.5,316.6,5952.3,38890.3,2072.4,446,69397.3,478.9,12,691.1,3849.0
CHN_G1703,413250.0,1440750.0,80.199951,13.031448,13.49,0.11,0.626,44.0,0.975,0.0,0.016,50,85.0,3256.2,39.0,282.2,5469.6,39267.7,856.9,563,94356.1,645.3,11,194.1,3352.2
CHN_G1704,413750.0,1440750.0,80.204562,13.031462,15.96,1.25,0.474,44.0,0.86,0.0,0.138,50,11.1,3223.6,248.3,402.7,4990.4,39647.8,6313.0,475,85747.5,453.4,14,312.7,2856.5
CHN_G1705,414250.0,1440750.0,80.209173,13.031476,12.43,2.31,0.681,44.0,0.834,0.0,0.16,50,12.6,3169.2,517.7,517.1,4515.7,40030.5,10343.5,433,72984.4,60.8,14,611.1,2362.7
CHN_G1706,414750.0,1440750.0,80.213784,13.03149,14.26,3.78,0.559,44.0,0.732,0.0,0.266,50,0.6,3189.2,278.0,747.6,4047.1,40415.8,12743.4,377,69024.1,297.3,19,440.8,1872.1
CHN_G1707,415250.0,1440750.0,80.218395,13.031504,11.77,3.83,0.685,83.0,0.89,0.0,0.108,50,1.7,3283.7,621.8,1095.6,3586.8,40803.6,13964.1,447,81440.3,264.6,23,414.0,1388.2
CHN_G1708,415750.0,1440750.0,80.223006,13.031518,11.8,2.2,0.659,83.0,0.956,0.0,0.033,50,24.9,3384.7,515.9,1453.1,3132.9,41193.9,9267.6,401,76672.0,42.7,24,789.5,921.8
CHN_G1709,416250.0,1440750.0,80.227617,13.031532,13.34,2.05,0.559,83.0,0.903,0.0,0.097,50,113.2,3509.2,290.7,1375.1,2694.2,41586.4,8223.3,346,51773.8,242.7,24,411.2,519.3
CHN_G1710,416750.0,1440750.0,80.232228,13.031545,11.93,2.11,0.614,333.0,0.948,0.0,0.051,50,57.0,3696.9,82.5,1017.6,2281.0,41981.3,16169.0,215,44470.2,36.9,21,463.5,430.1
CHN_G1711,417250.0,1440750.0,80.236839,13.031559,8.44,2.92,0.796,333.0,0.797,0.0,0.203,50,10.6,3939.4,10.7,703.5,1909.7,42378.3,16039.2,71,18224.4,193.3,19,325.8,774.8
CHN_G1712,417750.0,1440750.0,80.24145,13.031573,13.41,2.83,0.501,168.0,0.77,0.0,0.227,50,16.1,4189.9,26.4,575.4,1609.7,42777.5,3886.7,261,38115.0,282.1,17,177.7,1231.1
CHN_G1713,418250.0,1440750.0,80.246061,13.031586,12.82,5.99,0.529,37.0,0.794,0.0,0.206,50,10.5,4389.1,311.7,662.8,1270.7,43178.9,13541.6,68,38128.3,229.2,16,350.2,1712.0
