event_id,rainfall_mm,bin_name,cell_count,mean_ground_truth_m,mean_prediction_m,bias_m,mae_m,rmse_m
storm_011,12.0,0–5 cm,388894,0.005151334684342146,0.015623413026332855,0.01047208160161972,0.012703950516879559,0.0249188169836998
storm_011,12.0,5–10 cm,3287,0.06880691647529602,0.10051222145557404,0.03170529752969742,0.055417127907276154,0.08051126450300217
storm_011,12.0,10–20 cm,659,0.12549734115600586,0.18895095586776733,0.06345359236001968,0.08848696947097778,0.12751513719558716
storm_011,12.0,20–50 cm,69,0.25914502143859863,0.17104129493236542,-0.0881037637591362,0.14916248619556427,0.18125496804714203
storm_011,12.0,50 cm–1 m,307,0.7404882311820984,0.4473634958267212,-0.29312482476234436,0.2932751178741455,0.32513925433158875
storm_011,12.0,1–2 m,0,0.0,0.0,0.0,0.0,0.0
storm_011,12.0,>2 m,0,0.0,0.0,0.0,0.0,0.0
storm_016,28.0,0–5 cm,371660,0.008029148913919926,0.017642686143517494,0.009613539092242718,0.01305301021784544,0.024632105603814125
storm_016,28.0,5–10 cm,10408,0.07120192050933838,0.05438908562064171,-0.016812827438116074,0.04184051975607872,0.051996368914842606
storm_016,28.0,10–20 cm,7405,0.14048540592193604,0.08168701827526093,-0.05879839137196541,0.07783697545528412,0.08939868956804276
storm_016,28.0,20–50 cm,3372,0.2739201784133911,0.16370582580566406,-0.11021434515714645,0.13162948191165924,0.15241962671279907
storm_016,28.0,50 cm–1 m,371,0.7428414225578308,0.4681071639060974,-0.2747343182563782,0.27569758892059326,0.30465349555015564
storm_016,28.0,1–2 m,0,0.0,0.0,0.0,0.0,0.0
storm_016,28.0,>2 m,0,0.0,0.0,0.0,0.0,0.0
storm_007,60.0,0–5 cm,336922,0.011407052166759968,0.03469391539692879,0.023286866024136543,0.02835894003510475,0.060032520443201065
storm_007,60.0,5–10 cm,16794,0.06982909142971039,0.08391869813203812,0.014089607633650303,0.05938252434134483,0.09344272315502167
storm_007,60.0,10–20 cm,14932,0.1446472406387329,0.11659757047891617,-0.0280496496707201,0.09339384734630585,0.12209002673625946
storm_007,60.0,20–50 cm,18016,0.3152828514575958,0.1945529580116272,-0.12072987109422684,0.17691107094287872,0.20770834386348724
storm_007,60.0,50 cm–1 m,5993,0.6618209481239319,0.4458230137825012,-0.21599790453910828,0.2935238182544708,0.34458816051483154
storm_007,60.0,1–2 m,559,1.1765713691711426,0.9190211892127991,-0.2575502097606659,0.41983091831207275,0.511579692363739
storm_007,60.0,>2 m,0,0.0,0.0,0.0,0.0,0.0
storm_024,95.0,0–5 cm,333269,0.012955588288605213,0.03839040547609329,0.02543482556939125,0.028102125972509384,0.053936947137117386
storm_024,95.0,5–10 cm,21347,0.06934797018766403,0.09544409066438675,0.02609611675143242,0.057969823479652405,0.09314239025115967
storm_024,95.0,10–20 cm,14523,0.14358127117156982,0.11897801607847214,-0.024603256955742836,0.08365616947412491,0.10809431970119476
storm_024,95.0,20–50 cm,16909,0.3169739544391632,0.18862241506576538,-0.12835152447223663,0.16902485489845276,0.19953110814094543
storm_024,95.0,50 cm–1 m,6200,0.674312174320221,0.4040394127368927,-0.2702726721763611,0.2997167110443115,0.3511717617511749
storm_024,95.0,1–2 m,955,1.2087812423706055,0.8066750168800354,-0.4021061658859253,0.4274667799472809,0.5250002145767212
storm_024,95.0,>2 m,13,2.260620594024658,1.0773234367370605,-1.1832971572875977,1.1832971572875977,1.231529951095581
storm_028,135.0,0–5 cm,294289,0.015231292694807053,0.046326443552970886,0.03109516203403473,0.035865455865859985,0.07700378447771072
storm_028,135.0,5–10 cm,30882,0.06947600841522217,0.09006976336240768,0.020593762397766113,0.058145053684711456,0.10255806148052216
storm_028,135.0,10–20 cm,18935,0.1423305869102478,0.1242671012878418,-0.018063493072986603,0.09391286969184875,0.12874513864517212
storm_028,135.0,20–50 cm,26368,0.32934218645095825,0.19770537316799164,-0.1316368281841278,0.18216978013515472,0.21745182573795319
storm_028,135.0,50 cm–1 m,16372,0.6990299224853516,0.412087082862854,-0.28694283962249756,0.32936322689056396,0.3891013264656067
storm_028,135.0,1–2 m,6069,1.321016788482666,0.887692928314209,-0.4333239793777466,0.48113909363746643,0.5969662666320801
storm_028,135.0,>2 m,301,2.333646535873413,1.485616683959961,-0.8480297327041626,0.8742955327033997,1.0014415979385376
