event_id,step,time_minutes,mae_m,rmse_m,actual_max_depth_m,pred_max_depth_m,actual_mean_depth_m,pred_mean_depth_m,actual_flooded_area_5cm_km2,pred_flooded_area_5cm_km2,actual_flooded_area_10cm_km2,pred_flooded_area_10cm_km2
storm_011,0,5.0,0.0034005348570644855,0.018944868817925453,0.8804656267166138,0.13517969846725464,0.0006524911732412875,0.0029448154382407665,0.091552734375,0.067138671875,0.091552734375,0.030517578125
storm_011,1,10.0,0.005230472423136234,0.01691591925919056,0.825164794921875,0.28070926666259766,0.0007626357255503535,0.005012597888708115,0.091552734375,0.1708984375,0.091552734375,0.08544921875
storm_011,2,15.0,0.004893545992672443,0.015376215800642967,0.8667675852775574,0.3761218190193176,0.001004901248961687,0.004809089936316013,0.091552734375,0.311279296875,0.091552734375,0.09765625
storm_011,3,20.0,0.0041955458000302315,0.014554831199347973,0.8397118449211121,0.39084088802337646,0.0014512715861201286,0.004053896758705378,0.091552734375,0.244140625,0.091552734375,0.09765625
storm_011,4,25.0,0.004712139256298542,0.014205175451934338,0.8519147038459778,0.4243202209472656,0.002132569206878543,0.0046913172118365765,0.091552734375,0.335693359375,0.091552734375,0.103759765625
storm_011,5,30.0,0.005713415332138538,0.014444183558225632,0.8405616879463196,0.47345420718193054,0.002996196039021015,0.00603437889367342,0.091552734375,0.640869140625,0.091552734375,0.128173828125
storm_011,6,35.0,0.0069199916906654835,0.015437786467373371,0.8422881960868835,0.49821534752845764,0.0039014117792248726,0.007874682545661926,0.091552734375,1.07421875,0.091552734375,0.177001953125
storm_011,7,40.0,0.008524695411324501,0.01704680547118187,0.843456506729126,0.5234867334365845,0.004687795881181955,0.010467959567904472,0.091552734375,1.800537109375,0.091552734375,0.238037109375
storm_011,8,45.0,0.010369818657636642,0.019462527707219124,0.8366168737411499,0.556739866733551,0.0052536241710186005,0.013105759397149086,0.091552734375,2.862548828125,0.091552734375,0.439453125
storm_011,9,50.0,0.011815845966339111,0.0217438992112875,0.8497781753540039,0.5730218291282654,0.005594124551862478,0.0149614866822958,0.091552734375,4.156494140625,0.091552734375,0.6591796875
storm_011,10,55.0,0.01274585910141468,0.023321805521845818,0.8495606780052185,0.5827334523200989,0.005777393467724323,0.016184180974960327,0.091552734375,5.18798828125,0.091552734375,0.885009765625
storm_011,11,60.0,0.013665253296494484,0.02509274147450924,0.8443042039871216,0.5997617840766907,0.005894904490560293,0.017116982489824295,0.091552734375,6.304931640625,0.091552734375,1.1962890625
storm_011,12,65.0,0.014101429842412472,0.02614031918346882,0.851556122303009,0.6091192960739136,0.0060424720868468285,0.017418725416064262,0.091552734375,6.982421875,0.091552734375,1.361083984375
storm_011,13,70.0,0.014053410850465298,0.026149889454245567,0.8451882600784302,0.6126969456672668,0.006310200318694115,0.01746002584695816,0.091552734375,7.080078125,0.091552734375,1.422119140625
storm_011,14,75.0,0.014229435473680496,0.026426447555422783,0.848565936088562,0.6295030117034912,0.006781431380659342,0.01794847659766674,0.091552734375,7.45849609375,0.091552734375,1.55029296875
storm_011,15,80.0,0.01470999326556921,0.027307230979204178,0.8525575995445251,0.6547290682792664,0.007503474596887827,0.018836773931980133,0.09765625,8.11767578125,0.091552734375,1.788330078125
storm_011,16,85.0,0.015688471496105194,0.0287742018699646,0.8529687523841858,0.6805246472358704,0.008451737463474274,0.020521022379398346,0.28076171875,9.381103515625,0.091552734375,2.2705078125
storm_011,17,90.0,0.01727929338812828,0.031273625791072845,0.861190676689148,0.7127912640571594,0.009518131613731384,0.023011788725852966,0.8056640625,11.553955078125,0.091552734375,3.0029296875
storm_011,18,95.0,0.018761824816465378,0.03392579406499863,0.8582044243812561,0.7389762997627258,0.01054372638463974,0.025047849863767624,1.788330078125,13.73291015625,0.140380859375,3.887939453125
storm_011,19,100.0,0.020228086039423943,0.0363057404756546,0.8667742013931274,0.755875825881958,0.011387286707758904,0.0270237997174263,3.143310546875,15.625,0.311279296875,4.60205078125
storm_011,20,105.0,0.023362476378679276,0.04086719825863838,0.8703622817993164,0.7929025888442993,0.011980874463915825,0.031156692653894424,4.01611328125,19.0673828125,0.5615234375,5.8349609375
storm_011,21,110.0,0.026291709393262863,0.04527026787400246,0.87269127368927,0.829923152923584,0.012338003143668175,0.034506577998399734,4.6630859375,22.1435546875,0.909423828125,7.080078125
storm_011,22,115.0,0.024617888033390045,0.04308705031871796,0.8793011903762817,0.830897331237793,0.012522108852863312,0.03222209960222244,4.96826171875,20.30029296875,1.226806640625,6.4453125
storm_011,23,120.0,0.026832981035113335,0.0457446426153183,0.8784195184707642,0.8943241834640503,0.012602848932147026,0.035297613590955734,5.242919921875,22.25341796875,1.519775390625,7.073974609375
storm_016,0,5.0,0.005080706439912319,0.018968986347317696,0.8810648322105408,0.15934047102928162,0.0017304911743849516,0.005121749825775623,0.091552734375,0.091552734375,0.091552734375,0.042724609375
storm_016,1,10.0,0.0075408946722745895,0.017293337732553482,0.8274599313735962,0.3324975073337555,0.0028881640173494816,0.00897548720240593,0.091552734375,0.347900390625,0.091552734375,0.103759765625
storm_016,2,15.0,0.007354045286774635,0.016214149072766304,0.8683146834373474,0.4389418065547943,0.0040469965897500515,0.009233616292476654,0.091552734375,0.775146484375,0.091552734375,0.146484375
storm_016,3,20.0,0.006476240698248148,0.015155191533267498,0.8438004851341248,0.44763660430908203,0.005205557215958834,0.008000260218977928,0.091552734375,0.634765625,0.091552734375,0.146484375
storm_016,4,25.0,0.006415013689547777,0.014577952213585377,0.8573837876319885,0.4794022738933563,0.00634510163217783,0.008357093669474125,0.091552734375,0.787353515625,0.091552734375,0.15869140625
storm_016,5,30.0,0.006765072233974934,0.014468679204583168,0.8449437618255615,0.5287832617759705,0.007471260614693165,0.009063633158802986,0.091552734375,1.251220703125,0.091552734375,0.201416015625
storm_016,6,35.0,0.007235229946672916,0.01476693619042635,0.8507100343704224,0.5483206510543823,0.008699781261384487,0.010014675557613373,0.1220703125,1.824951171875,0.091552734375,0.29296875
storm_016,7,40.0,0.008208589628338814,0.01571023091673851,0.8628987669944763,0.5747769474983215,0.009881749749183655,0.01223396509885788,0.531005859375,2.587890625,0.091552734375,0.4150390625
storm_016,8,45.0,0.0095533337444067,0.017406299710273743,0.8567754030227661,0.6087543964385986,0.011111866682767868,0.014826890081167221,1.74560546875,3.997802734375,0.140380859375,0.69580078125
storm_016,9,50.0,0.010946709662675858,0.019397445023059845,0.8701769709587097,0.6313183307647705,0.012330404482781887,0.016990525647997856,3.399658203125,5.43212890625,0.32958984375,1.07421875
storm_016,10,55.0,0.012473663315176964,0.021669641137123108,0.8791528940200806,0.6538982391357422,0.013479352928698063,0.019146738573908806,4.693603515625,7.09228515625,0.787353515625,1.416015625
storm_016,11,60.0,0.01426895521581173,0.024488504976034164,0.8815847039222717,0.6841467618942261,0.01461532898247242,0.021343916654586792,5.804443359375,8.990478515625,1.42822265625,2.03857421875
storm_016,12,65.0,0.01581011712551117,0.02703315019607544,0.8960612416267395,0.7012056708335876,0.01578705944120884,0.02294762060046196,6.62841796875,10.5224609375,2.3681640625,2.40478515625
storm_016,13,70.0,0.017098192125558853,0.029095027595758438,0.8893082737922668,0.7044529914855957,0.01692090556025505,0.024144377559423447,7.373046875,11.26708984375,3.08837890625,2.69775390625
storm_016,14,75.0,0.018400508910417557,0.031208768486976624,0.8999008536338806,0.7095312476158142,0.01816043257713318,0.025364767760038376,8.135986328125,11.944580078125,3.77197265625,2.972412109375
storm_016,15,80.0,0.019906332716345787,0.03383984789252281,0.9068001508712769,0.7210538983345032,0.019285617396235466,0.02662641368806362,8.697509765625,13.0859375,4.278564453125,3.546142578125
storm_016,16,85.0,0.021242190152406693,0.036351922899484634,0.9155496954917908,0.7343721389770508,0.020458068698644638,0.02770879864692688,9.21630859375,14.0380859375,4.852294921875,3.9794921875
