event_id,metric,phase6_reported,phase7a_reproduced,phase7a1_corrected,scale_factor,invariant
storm_011,H_MAE_m,0.06715503334999084,0.06715503334999084,0.013431004248559475,5x -> 1x,NO (5x scale)
storm_011,H_RMSE_m,0.13998748362064362,0.13998748362064362,0.027997495606541634,5x -> 1x,NO (5x scale)
storm_011,H_Bias_m,0.052420202642679214,0.052420202642679214,0.010484040714800358,5x -> 1x,NO (5x scale)
storm_011,True_Peak_m,4.402328014373779,4.402328014373779,0.8804656267166138,5x -> 1x,NO (5x scale)
storm_011,Pred_Peak_m,4.471621036529541,4.471621036529541,0.8943241834640503,5x -> 1x,NO (5x scale)
storm_011,Peak_Error_m,0.06929302215576172,0.06929302215576172,0.013858556747436523,5x -> 1x,NO (5x scale)
storm_011,Peak_Pct_Error,1.57400315548003,1.57400315548003,1.57400315548003,1x,YES
storm_011,Pearson_Corr,0.5668678803312724,0.5668678803312724,0.5668678796590582,1x,YES
storm_011,Spearman_Corr,0.5089695915485567,0.5089695915485567,0.5089695914095571,1x,YES
storm_011,U_MAE_mps,0.09955344349145889,0.09955344349145889,0.01991068571805954,5x -> 1x,NO (5x scale)
storm_011,V_MAE_mps,0.08859547972679138,0.08859547972679138,0.017719095572829247,5x -> 1x,NO (5x scale)
storm_016,H_MAE_m,0.08149819076061249,0.08149819076061249,0.016299638897180557,5x -> 1x,NO (5x scale)
storm_016,H_RMSE_m,0.16449472308158875,0.16449472308158875,0.03289894014596939,5x -> 1x,NO (5x scale)
storm_016,H_Bias_m,0.0316493846476078,0.0316493846476078,0.0063298773020505905,5x -> 1x,NO (5x scale)
storm_016,True_Peak_m,4.776896953582764,4.776896953582764,0.9553793668746948,5x -> 1x,NO (5x scale)
storm_016,Pred_Peak_m,5.0907464027404785,5.0907464027404785,1.0181492567062378,5x -> 1x,NO (5x scale)
storm_016,Peak_Error_m,0.31384944915771484,0.31384944915771484,0.06276988983154297,5x -> 1x,NO (5x scale)
storm_016,Peak_Pct_Error,6.570153387013193,6.570153387013193,6.570153387013193,1x,YES
storm_016,Pearson_Corr,0.6491555508063604,0.6491555508063604,0.6491555508188535,1x,YES
storm_016,Spearman_Corr,0.475622737713329,0.475622737713329,0.4756227376741706,1x,YES
storm_016,U_MAE_mps,0.12028514593839645,0.12028514593839645,0.024057036265730858,5x -> 1x,NO (5x scale)
storm_016,V_MAE_mps,0.11409810185432434,0.11409810185432434,0.02281961776316166,5x -> 1x,NO (5x scale)
storm_007,H_MAE_m,0.2177884578704834,0.2177884578704834,0.04355768859386444,5x -> 1x,NO (5x scale)
storm_007,H_RMSE_m,0.45236530900001526,0.45236530900001526,0.09047306329011917,5x -> 1x,NO (5x scale)
storm_007,H_Bias_m,0.051499996334314346,0.051499996334314346,0.010300000198185444,5x -> 1x,NO (5x scale)
storm_007,True_Peak_m,9.728425979614258,9.728425979614258,1.9456852674484253,5x -> 1x,NO (5x scale)
storm_007,Pred_Peak_m,9.800798416137695,9.800798416137695,1.9601596593856812,5x -> 1x,NO (5x scale)
storm_007,Peak_Error_m,0.0723724365234375,0.0723724365234375,0.01447439193725586,5x -> 1x,NO (5x scale)
storm_007,Peak_Pct_Error,0.7439225747048802,0.7439225747048802,0.7439225747048802,1x,YES
storm_007,Pearson_Corr,0.6705031881131137,0.6705031881131137,0.6705031881785941,1x,YES
storm_007,Spearman_Corr,0.47687969183563494,0.47687969183563494,0.4768796918989904,1x,YES
storm_007,U_MAE_mps,0.16569076478481293,0.16569076478481293,0.033138152211904526,5x -> 1x,NO (5x scale)
storm_007,V_MAE_mps,0.16590897738933563,0.16590897738933563,0.03318179398775101,5x -> 1x,NO (5x scale)
storm_024,H_MAE_m,0.21563071012496948,0.21563071012496948,0.04312613233923912,5x -> 1x,NO (5x scale)
storm_024,H_RMSE_m,0.44000670313835144,0.44000670313835144,0.08800134062767029,5x -> 1x,NO (5x scale)
storm_024,H_Bias_m,0.05634330213069916,0.05634330213069916,0.011268661357462406,5x -> 1x,NO (5x scale)
storm_024,True_Peak_m,13.699956893920898,13.699956893920898,2.7399914264678955,5x -> 1x,NO (5x scale)
