event_id,rainfall_mm,severity_category,profile,peak_intensity_mm_hr,H_MAE_m,H_RMSE_m,H_Bias_m,H_Max_Actual_m,H_Max_Pred_m,Peak_Error_m,Peak_Pct_Error,H_Interior_MAE_m,H_Interior_Max_Actual_m,H_Interior_Max_Pred_m,H_Interior_Peak_Error_m,U_MAE_mps,U_RMSE_mps,U_Bias_mps,V_MAE_mps,V_RMSE_mps,V_Bias_mps,Pearson_Correlation,Spearman_Correlation
storm_011,12.0,Low,multi_peak,12.8,0.013431004248559475,0.027997495606541634,0.010484040714800358,0.8804656267166138,0.8943241834640503,0.013858556747436523,1.57400315548003,0.013175164349377155,0.7267618179321289,0.6974977850914001,-0.02926403284072876,0.01991068571805954,0.027899691835045815,-0.001135975937359035,0.017719095572829247,0.025484470650553703,0.00407340656965971,0.5668678796590582,0.5089695914095571
storm_016,28.0,Moderate,uniform,14.88,0.016299638897180557,0.03289894014596939,0.0063298773020505905,0.9553793668746948,1.0181492567062378,0.06276988983154297,6.570153387013193,0.016069453209638596,0.8230555057525635,0.8219408392906189,-0.00111466646194458,0.024057036265730858,0.035075895488262177,-0.0021460738498717546,0.02281961776316166,0.03422665596008301,0.002355852397158742,0.6491555508188535,0.4756227376741706
storm_007,60.0,Heavy,front_loaded,87.38,0.04355768859386444,0.09047306329011917,0.010300000198185444,1.9456852674484253,1.9601596593856812,0.01447439193725586,0.7439225747048802,0.043348003178834915,1.9456852674484253,1.9601596593856812,0.01447439193725586,0.033138152211904526,0.0486232191324234,0.00029501624521799386,0.03318179398775101,0.04822622612118721,0.0017268462106585503,0.6705031881785941,0.4768796918989904
storm_024,95.0,Very Heavy,multi_peak,101.3,0.04312613233923912,0.08800134062767029,0.011268661357462406,2.7399914264678955,1.8927172422409058,-0.8472741842269897,-30.922512240091393,0.042966146022081375,2.7399914264678955,1.8927172422409058,-0.8472741842269897,0.03895492106676102,0.05611134320497513,-0.0011571074137464166,0.03900740668177605,0.0557626336812973,0.000995366950519383,0.7067854920742989,0.629419278790309
storm_028,135.0,Extreme,back_loaded,176.4,0.06995562463998795,0.14766359329223633,-0.004091949202120304,3.5487043857574463,2.771925449371338,-0.7767789363861084,-21.889085478736217,0.06975903362035751,3.5487043857574463,2.771925449371338,-0.7767789363861084,0.046483565121889114,0.06966715306043625,-0.0002928689355030656,0.046069469302892685,0.0691106766462326,-0.0007843460771255195,0.7692134728800654,0.590383145940328
