event_id,rainfall_mm,threshold_m,volume_tp,volume_fp,volume_fn,volume_tn,volume_precision,volume_recall,volume_f1,volume_iou,final_step_iou,final_step_recall,final_step_precision
storm_011,12.0,0.05,3351,27263,971,361631,0.10945972430913961,0.7753354928273948,0.1918365010304557,0.10609466518917207,0.15869341563786007,0.7182770663562281,0.16922654964344488
storm_011,12.0,0.1,877,7390,158,384791,0.10608443207935164,0.8473429951690822,0.18856159965598798,0.10409495548961424,0.15694330320460148,0.7670682730923695,0.16479723899913717
storm_011,12.0,0.2,309,1273,67,391567,0.19532237673830594,0.8218085106382979,0.3156281920326864,0.1873862947240752,0.08943089430894309,0.88,0.09053497942386832
storm_011,12.0,0.5,111,16,196,392893,0.8740157480314961,0.36156351791530944,0.511520737327189,0.34365325077399383,0.7058823529411765,0.9230769230769231,0.75
storm_011,12.0,1.0,0,0,0,393216,1.0,1.0,1.0,1.0,1.0,1.0,1.0
storm_016,28.0,0.05,12224,27550,9332,344110,0.3073364509478554,0.5670810911115235,0.39863036034567095,0.24893088420966888,0.25034119711444724,0.6754339821146765,0.2845744680851064
storm_016,28.0,0.1,4857,7324,6291,374744,0.39873573598226747,0.4356835306781485,0.41639161558575166,0.2629385015158077,0.27253842958039054,0.5177584846093133,0.36525612472160357
storm_016,28.0,0.2,1330,1265,2413,388208,0.51252408477842,0.3553299492385787,0.4196907541811297,0.26557507987220447,0.2710843373493976,0.37251655629139074,0.49889135254988914
storm_016,28.0,0.5,168,51,203,392794,0.7671232876712328,0.4528301886792453,0.5694915254237289,0.3981042654028436,0.3541666666666667,0.4857142857142857,0.5666666666666667
storm_016,28.0,1.0,0,1,0,393215,0.0,1.0,0.0,0.0,0.0,1.0,0.0
storm_007,60.0,0.05,38362,64944,17932,271978,0.3713433876057538,0.6814580594734785,0.48072681704260645,0.3164189445553374,0.32829648480992524,0.7635960044395117,0.3654390934844193
storm_007,60.0,0.1,24006,32026,15494,321690,0.4284337521416334,0.607746835443038,0.5025750533852531,0.33562620585521347,0.367497034400949,0.679982440737489,0.44434882386689617
storm_007,60.0,0.2,12488,11606,12080,357042,0.5183033120278907,0.5083034842070987,0.5132546956557479,0.3452203239896058,0.3921651221566976,0.5704656862745098,0.5564853556485355
storm_007,60.0,0.5,2623,1867,3929,384797,0.5841870824053452,0.40033577533577536,0.4750950914689368,0.311557192065566,0.31070889894419307,0.37117117117117115,0.6560509554140127
storm_007,60.0,1.0,247,359,312,392298,0.4075907590759076,0.4418604651162791,0.4240343347639485,0.2690631808278867,0.2289156626506024,0.2923076923076923,0.5135135135135135
storm_024,95.0,0.05,44185,72850,15762,260419,0.37753663434015466,0.7370677431731363,0.4993163146534676,0.33272588989209095,0.36261742100768574,0.8398022249690976,0.38956422018348624
storm_024,95.0,0.1,24207,32464,14393,322152,0.42714968855322827,0.6271243523316062,0.5081714267720502,0.34063660925363054,0.36320319704887793,0.776281208935611,0.4056652360515021
storm_024,95.0,0.2,12344,10743,11733,358396,0.5346731927058518,0.5126884578643519,0.523450089050971,0.35450890292935094,0.41321447299423175,0.6772668672110013,0.5145282402873
storm_024,95.0,0.5,2755,1269,4413,384779,0.6846421471172962,0.3843470982142857,0.49231593995711226,0.32653786891075026,0.3773898586866168,0.460446247464503,0.676602086438152
storm_024,95.0,1.0,297,97,671,392151,0.7538071065989848,0.3068181818181818,0.4361233480176212,0.27887323943661974,0.2636363636363636,0.27488151658767773,0.8656716417910447
storm_028,135.0,0.05,72460,75854,26467,218435,0.48855805925266665,0.732459288161978,0.5861487374666824,0.41457595505232264,0.4454015372382719,0.7983372921615202,0.5018665073913693
storm_028,135.0,0.1,45091,39682,22954,285489,0.531902846425159,0.6626644132559336,0.5901268175214961,0.41856730438980017,0.46013347383210396,0.7552608820985874,0.5407636738906089
storm_028,135.0,0.2,29137,16799,19973,327307,0.6342955416231278,0.5933007534107106,0.613113650232519,0.44207923045411096,0.5016376921138825,0.6959105207969242,0.6424653113907712
storm_028,135.0,0.5,10795,3375,11947,367099,0.7618207480592801,0.4746724122768446,0.584904638058084,0.4133323122870161,0.459915611814346,0.5369458128078818,0.7622377622377622
storm_028,135.0,1.0,2644,607,3726,386239,0.8132882190095355,0.4150706436420722,0.5496310154869556,0.37895943815393435,0.40589198036006546,0.4397163120567376,0.8406779661016949
