event_id,rainfall_mm,bin_name,cell_count,mean_ground_truth_m,mean_prediction_m,bias_m,mae_m,rmse_m
storm_011,12.0,0–5 cm,359884,0.020053669810295105,0.06461956351995468,0.04456588625907898,0.05413750559091568,0.10276392847299576
storm_011,12.0,5–10 cm,19382,0.0680556446313858,0.21734169125556946,0.14928606152534485,0.16599567234516144,0.25411292910575867
storm_011,12.0,10–20 cm,7956,0.13910728693008423,0.2920324206352234,0.15292511880397797,0.2041553556919098,0.31296756863594055
storm_011,12.0,20–50 cm,4959,0.3034220337867737,0.45164579153060913,0.14822371304035187,0.2598142623901367,0.38586699962615967
storm_011,12.0,50 cm–1 m,659,0.6274867653846741,0.9447546601295471,0.3172679543495178,0.4424348771572113,0.6375756859779358
storm_011,12.0,1–2 m,64,1.2092297077178955,0.8747113347053528,-0.3345184624195099,0.6636630892753601,0.7883269190788269
storm_011,12.0,>2 m,312,3.681614875793457,2.2106752395629883,-1.4709397554397583,1.4716793298721313,1.6293238401412964
storm_016,28.0,0–5 cm,296580,0.026085786521434784,0.06744172424077988,0.04135594516992569,0.05291886255145073,0.09767312556505203
storm_016,28.0,5–10 cm,50490,0.06865041702985764,0.14732255041599274,0.07867211103439331,0.10244375467300415,0.17748475074768066
storm_016,28.0,10–20 cm,20523,0.1369079202413559,0.21013663709163666,0.07322870194911957,0.1341160386800766,0.2200516313314438
storm_016,28.0,20–50 cm,14475,0.3187200427055359,0.2668738067150116,-0.051846254616975784,0.19442212581634521,0.2531146705150604
storm_016,28.0,50 cm–1 m,7405,0.702427089214325,0.4084351360797882,-0.29399192333221436,0.3891848921775818,0.4469934403896332
storm_016,28.0,1–2 m,3175,1.3181296586990356,0.7861201167106628,-0.5320095419883728,0.6355274319648743,0.7325981855392456
storm_016,28.0,>2 m,568,3.1887383460998535,1.9938161373138428,-1.1949219703674316,1.2550926208496094,1.401244878768921
storm_007,60.0,0–5 cm,205703,0.027807703241705894,0.14038072526454926,0.11257302761077881,0.12536796927452087,0.2694151699542999
storm_007,60.0,5–10 cm,79031,0.07057331502437592,0.194255992770195,0.12368269264698029,0.15162304043769836,0.32106682658195496
storm_007,60.0,10–20 cm,43816,0.13812758028507233,0.2615087330341339,0.12338116765022278,0.18478946387767792,0.36791351437568665
storm_007,60.0,20–50 cm,25166,0.3071674704551697,0.3896177113056183,0.082450270652771,0.2738570272922516,0.44632259011268616
storm_007,60.0,50 cm–1 m,14932,0.7232361435890198,0.582987904548645,-0.14024825394153595,0.4669692814350128,0.6104500889778137
storm_007,60.0,1–2 m,14460,1.4141576290130615,0.8747755885124207,-0.5393821001052856,0.8208479285240173,0.9598181843757629
storm_007,60.0,>2 m,10108,3.0739951133728027,2.058154821395874,-1.0158400535583496,1.388559103012085,1.651168704032898
storm_024,95.0,0–5 cm,170087,0.02642151713371277,0.12026269733905792,0.09384117275476456,0.0997522622346878,0.19447541236877441
storm_024,95.0,5–10 cm,95233,0.07093788683414459,0.22349713742733002,0.15255922079086304,0.16287396848201752,0.28971219062805176
storm_024,95.0,10–20 cm,56991,0.1384854018688202,0.3140760362148285,0.1755906343460083,0.2050326019525528,0.36726313829421997
storm_024,95.0,20–50 cm,32305,0.3048546016216278,0.4494648277759552,0.1446102112531662,0.27403485774993896,0.45728960633277893
storm_024,95.0,50 cm–1 m,14523,0.7179062962532043,0.5948900580406189,-0.12301628291606903,0.4182808995246887,0.540471613407135
storm_024,95.0,1–2 m,13603,1.4283702373504639,0.8661629557609558,-0.5622072219848633,0.7706391215324402,0.9052785634994507
storm_024,95.0,>2 m,10474,3.2643678188323975,1.9679006338119507,-1.2964673042297363,1.4527866840362549,1.7443562746047974
storm_028,135.0,0–5 cm,126716,0.029113730415701866,0.17047663033008575,0.14136289060115814,0.15537327527999878,0.3558310568332672
storm_028,135.0,5–10 cm,87327,0.07138781994581223,0.2448461651802063,0.17345838248729706,0.18972021341323853,0.39010781049728394
storm_028,135.0,10–20 cm,65474,0.14037400484085083,0.3021610975265503,0.1617870330810547,0.20077940821647644,0.4121515154838562
storm_028,135.0,20–50 cm,45654,0.3072170913219452,0.4228985011577606,0.11568144708871841,0.27052217721939087,0.49728330969810486
storm_028,135.0,50 cm–1 m,18935,0.7116529941558838,0.621335506439209,-0.09031745791435242,0.4695643484592438,0.6437257528305054
storm_028,135.0,1–2 m,19894,1.4526152610778809,0.8947063684463501,-0.5579087734222412,0.8249866962432861,0.9771029949188232
storm_028,135.0,>2 m,29216,3.947943687438965,2.4360806941986084,-1.5118635892868042,1.7279106378555298,2.1556506156921387
