event_id,rainfall_mm,threshold_m,volume_tp,volume_fp,volume_fn,volume_tn,volume_precision,volume_recall,volume_f1,volume_iou,final_step_iou,final_step_recall,final_step_precision
storm_011,12.0,0.05,28913,143815,4419,216069,0.1673903478301144,0.8674246969878795,0.2806270018441231,0.16321473126838162,0.25375874125874126,0.9094611528822055,0.26033539592861626
storm_011,12.0,0.1,11057,84582,2893,294684,0.11561183199322451,0.7926164874551971,0.20179032567137212,0.1122173507083993,0.17789436031954214,0.8104291146116241,0.18561831301318735
storm_011,12.0,0.2,4594,37956,1400,349266,0.10796709753231493,0.7664330997664331,0.18927158866183255,0.10452787258248009,0.15916398713826366,0.7333333333333333,0.1689419795221843
storm_011,12.0,0.5,877,7390,158,384791,0.10608443207935164,0.8473429951690822,0.18856159965598798,0.10409495548961424,0.15694330320460148,0.7670682730923695,0.16479723899913717
storm_011,12.0,1.0,309,1273,67,391567,0.19532237673830594,0.8218085106382979,0.3156281920326864,0.1873862947240752,0.08943089430894309,0.88,0.09053497942386832
storm_016,28.0,0.05,79666,132571,16970,164009,0.3753633909261816,0.8243925659174635,0.5158495562901256,0.3475722818238535,0.4174726240908001,0.8985033545501462,0.4381343846992702
storm_016,28.0,0.1,34025,82663,12121,264407,0.2915895379130673,0.7373336800589434,0.4179102644410872,0.26415079691636456,0.2870350462266179,0.8238198087010182,0.3058068949719391
storm_016,28.0,0.2,15783,38159,9840,329434,0.2925920433057729,0.615970026928931,0.39673223150882925,0.24745225925809788,0.24917925147734735,0.7228571428571429,0.2754990925589837
storm_016,28.0,0.5,4857,7324,6291,374744,0.39873573598226747,0.4356835306781485,0.41639161558575166,0.2629385015158077,0.27253842958039054,0.5177584846093133,0.36525612472160357
storm_016,28.0,1.0,1330,1265,2413,388208,0.51252408477842,0.3553299492385787,0.4196907541811297,0.26557507987220447,0.2710843373493976,0.37251655629139074,0.49889135254988914
storm_007,60.0,0.05,158186,115214,29327,90489,0.5785881492318946,0.8436001770543909,0.6864028569382942,0.5225368070902165,0.40260925098074996,0.8383358662613982,0.43649851632047476
storm_007,60.0,0.1,84934,114748,23548,169986,0.4253463006179826,0.7829317306096863,0.5512259705870901,0.38047753438157955,0.3330747922437673,0.8222100656455142,0.3589253731343284
storm_007,60.0,0.2,45193,77194,19473,251356,0.36926307532662783,0.6988680295673151,0.48321064083441584,0.3185746510644297,0.3226315035115379,0.7845939351690484,0.3539864758609844
storm_007,60.0,0.5,24006,32026,15494,321690,0.4284337521416334,0.607746835443038,0.5025750533852531,0.33562620585521347,0.367497034400949,0.679982440737489,0.44434882386689617
storm_007,60.0,1.0,12488,11606,12080,357042,0.5183033120278907,0.5083034842070987,0.5132546956557479,0.3452203239896058,0.3921651221566976,0.5704656862745098,0.5564853556485355
storm_024,95.0,0.05,209525,105173,13604,64914,0.6657970498700341,0.9390307848822879,0.7791538914929893,0.6382081132615701,0.5663094669305849,0.928076062639821,0.5923043974871502
storm_024,95.0,0.1,114404,134261,13492,131059,0.4600727886916132,0.8945080377806968,0.6076253249805477,0.43639498468474996,0.44814340588988477,0.89171974522293,0.47393364928909953
storm_024,95.0,0.2,55128,90947,15777,231364,0.37739517371213416,0.7774910090966787,0.5081389989860817,0.3406074685515162,0.3676456239633135,0.8499887209564629,0.39315525876460766
storm_024,95.0,0.5,24207,32464,14393,322152,0.42714968855322827,0.6271243523316062,0.5081714267720502,0.34063660925363054,0.36320319704887793,0.776281208935611,0.4056652360515021
storm_024,95.0,1.0,12344,10743,11733,358396,0.5346731927058518,0.5126884578643519,0.523450089050971,0.35450890292935094,0.41321447299423175,0.6772668672110013,0.5145282402873
storm_028,135.0,0.05,244634,71126,21866,55590,0.7747466430200152,0.9179512195121952,0.8402912788101535,0.724570974984154,0.5407317915084571,0.8053984575835476,0.6219972205677983
storm_028,135.0,0.1,158316,114151,20857,99892,0.5810465120546708,0.8835929520630899,0.7010716499867151,0.5397308096166696,0.4702080387800444,0.8127072787572002,0.527353041114509
storm_028,135.0,0.2,88209,90743,25490,188774,0.4929198891322813,0.7758115726611492,0.6028272584067712,0.43146222400485224,0.44682159104881347,0.8036267138434321,0.5015873015873016
storm_028,135.0,0.5,45091,39682,22954,285489,0.531902846425159,0.6626644132559336,0.5901268175214961,0.41856730438980017,0.46013347383210396,0.7552608820985874,0.5407636738906089
storm_028,135.0,1.0,29137,16799,19973,327307,0.6342955416231278,0.5933007534107106,0.613113650232519,0.44207923045411096,0.5016376921138825,0.6959105207969242,0.6424653113907712
